,id,start_time,end_time,ra,dec,priority,configuration,cloud,airmass,scientific_score,ratio_to_best_airmass,expected_quality
0,4038-622-1,2023-06-08 13:36:36.683,2023-06-08 13:41:36.683,20.27161972,64.65818556,3,{},1.6114649530927163,2.834394859278149,2.0,0.7001143795592684,1.6114649530927163
1,5692-1865-1,2023-06-08 13:42:36.684,2023-06-08 13:47:36.684,280.00166667,-7.79071306,3,{},0.7971730769046653,2.810156240647772,2.0,0.7159359560182158,0.7971730769046653
2,1640-1831-1,2023-06-08 13:48:16.684,2023-06-08 13:53:16.684,306.85653472,18.96814083,3,{},0.7309587569065421,2.5902568279940503,2.0,1.3075762402464572,0.7309587569065421
3,2687-1355-1,2023-06-08 13:53:56.684,2023-06-08 13:58:56.684,312.15663528,30.79293722,3,{},0.39137422084327894,2.174122662529837,2.0,1.0880958872671305,0.39137422084327894
4,1616-837-1,2023-06-08 13:59:36.684,2023-06-08 14:04:36.684,299.00526389,16.63481639,3,{},0.3568024660489435,2.0704073981468305,2.0,0.8163379153404947,0.3568024660489435
5,2688-1632-1,2023-06-08 14:05:16.684,2023-06-08 14:10:16.684,314.56472056,30.39588778,3,{},0.3898983816954562,2.1696951450863686,2.0,1.0804856710284576,0.3898983816954562
6,1064-3322-1,2023-06-08 14:10:56.685,2023-06-08 14:15:56.685,294.04853917,12.16163583,3,{},0.3067247755899677,1.9201743267699032,2.0,0.6147280975426621,0.3067247755899677
7,1651-1090-1,2023-06-08 14:16:36.685,2023-06-08 14:21:36.685,312.65423083,18.05125556,3,{},1.0178294465439177,2.5534883396317536,2.0,1.258547237828972,1.0178294465439177
8,5125-325-1,2023-06-08 14:22:16.685,2023-06-08 14:27:16.685,281.13892222,-7.11059417,3,{},0.5560238376573865,2.2487496248270276,2.0,0.40110646106551345,0.5560238376573865
9,3623-2738-1,2023-06-08 14:28:16.685,2023-06-08 14:33:16.685,346.91365583,46.38729833,3,{},0.5880156257800639,2.764046877340192,2.0,1.0243820905892058,0.5880156257800639
10,1640-1763-1,2023-06-08 14:33:56.686,2023-06-08 14:38:56.686,307.53037806,19.4301525,3,{},0.4257604275792482,1.9543057785092388,2.0,0.7573254982562727,0.4257604275792482
11,6201-50-1,2023-06-08 14:39:56.686,2023-06-08 14:44:56.686,243.29643417,-15.11691806,1,{},0.3139476512650939,1.9418429537952817,4.0,4.7168839038513695e-05,0.3139476512650939
12,4017-876-1,2023-06-08 14:47:36.686,2023-06-08 14:52:36.686,14.33139667,61.4219325,2,{},0.5170010105746297,2.551003031723889,3.0,0.5642319185611951,0.5170010105746297
13,1659-1521-1,2023-06-08 14:53:16.686,2023-06-08 14:58:16.686,312.09782944,21.23328889,2,{},0.29332535648535557,1.8799760694560668,3.0,0.7149663662827632,0.29332535648535557
14,5091-713-1,2023-06-08 14:58:56.686,2023-06-08 15:03:56.686,269.19895222,-4.08180333,2,{},0.20250084769920723,1.6075025430976217,3.0,0.07260594076053403,0.20250084769920723
15,4282-468-1,2023-06-08 15:04:56.687,2023-06-08 15:09:56.687,344.66582694,63.07715861,2,{},0.23172996950795627,1.6951899085238689,3.0,0.3261002142682225,0.23172996950795627
