,id,start_time,end_time,ra,dec,priority,configuration,cloud,airmass,scientific_score,ratio_to_best_airmass,expected_quality
0,3180-149-1,2023-06-08 13:35:16.683,2023-06-08 13:40:16.683,316.94809472,44.96424389,5,{},0.6154689943873659,2.029783791346957,0.0,1.0063549992548295,0.6154689943873659
1,5091-713-1,2023-06-08 13:40:35.387,2023-06-08 13:45:35.387,269.19895222,-4.08180333,2,{},1.338756200071277,2.016268600213831,3.0,0.3375136525043002,1.338756200071277
2,6201-50-1,2023-06-08 13:45:46.722,2023-06-08 13:50:46.722,243.29643417,-15.11691806,1,{},0.6611105306467261,2.0177141557593132,4.0,0.035416780254372476,0.6611105306467261
3,1623-613-1,2023-06-08 13:51:05.166,2023-06-08 13:56:05.166,297.18437778,19.66108139,4,{},0.3209454443903327,1.9628363331709981,1.0,0.7677794654318373,0.3209454443903327
4,5098-149-1,2023-06-08 13:56:16.950,2023-06-08 14:01:16.950,275.59914861,-1.20229806,2,{},0.34978358944010607,1.9551532386518669,3.0,0.3675317512294014,0.34978358944010607
5,2158-1406-1,2023-06-08 14:01:30.334,2023-06-08 14:06:30.334,303.32333306,25.24154472,4,{},0.3029478891825025,1.9088436675475076,1.0,0.7869531765656851,0.3029478891825025
6,5095-339-1,2023-06-08 14:06:45.533,2023-06-08 14:11:45.533,268.16126389,-6.14356083,1,{},0.2998372882074647,1.899511864622394,4.0,0.21169772021317557,0.2998372882074647
7,451-985-1,2023-06-08 14:11:54.060,2023-06-08 14:16:54.060,281.15704639,2.12095556,1,{},0.3705129194240841,1.8614046461951443,4.0,0.3758399544711095,0.3705129194240841
8,1064-3322-1,2023-06-08 14:17:02.835,2023-06-08 14:22:02.835,294.04853917,12.16163583,3,{},0.28785159563335677,1.8635547869000704,2.0,0.5680322612599847,0.28785159563335677
9,448-526-1,2023-06-08 14:22:11.707,2023-06-08 14:27:11.707,281.49342556,1.31704083,1,{},0.4158017279820158,1.827318816464453,4.0,0.33445598928295395,0.4158017279820158
10,1616-837-1,2023-06-08 14:27:22.239,2023-06-08 14:32:22.239,299.00526389,16.63481639,3,{},0.2648525855127728,1.7945577565383184,2.0,0.5785973222420355,0.2648525855127728
11,3595-2029-1,2023-06-08 14:32:35.902,2023-06-08 14:37:35.902,325.29231667,47.54518944,5,{},0.2565055004570622,1.7695165013711867,0.0,0.5560849526315838,0.2565055004570622
12,2687-1355-1,2023-06-08 14:37:45.663,2023-06-08 14:42:45.663,312.15663528,30.79293722,3,{},0.24704002342677756,1.7411200702803327,2.0,0.6781344391852818,0.24704002342677756
13,2688-591-1,2023-06-08 14:42:48.171,2023-06-08 14:47:48.171,313.38883722,31.62614639,5,{},0.24003103099623369,1.720093092988701,0.0,0.663637518341651,0.24003103099623369
14,466-1646-1,2023-06-08 14:48:02.329,2023-06-08 14:53:02.329,285.29761,2.48282444,2,{},0.30977679500631866,1.7144734347509054,3.0,0.27667430006657356,0.30977679500631866
15,471-1058-1,2023-06-08 14:53:06.773,2023-06-08 14:58:06.773,288.69099861,4.62006472,4,{},0.3744711217285428,1.6936994646495274,1.0,0.30147228818778893,0.3744711217285428
16,2688-1632-1,2023-06-08 14:58:20.191,2023-06-08 15:03:20.191,314.56472056,30.39588778,3,{},0.22336145955299772,1.6700843786589932,2.0,0.6080851816631296,0.22336145955299772
17,1645-216-1,2023-06-08 15:03:27.352,2023-06-08 15:08:27.352,308.02652306,22.01413639,4,{},0.21547885041368664,1.64643655124106,1.0,0.5136657083335076,0.21547885041368664
18,1066-3555-1,2023-06-08 15:08:35.812,2023-06-08 15:13:35.812,298.01513667,11.62911528,5,{},0.20603144055829548,1.6180943216748864,0.0,0.35755084133719356,0.20603144055829548
19,1640-1831-1,2023-06-08 15:13:43.364,2023-06-08 15:18:43.364,306.85653472,18.96814083,3,{},0.20679582197214535,1.6203874659164361,2.0,0.4566081810893626,0.20679582197214535
20,1057-2439-1,2023-06-08 15:18:52.169,2023-06-08 15:23:52.169,295.69109,8.38263833,5,{},0.40261375207315636,1.5942594627441786,0.0,0.2887845510702324,0.40261375207315636
21,1640-1763-1,2023-06-08 15:24:01.250,2023-06-08 15:29:01.250,307.53037806,19.4301525,3,{},0.26900210245635586,1.5633494805567412,2.0,0.4113930549460391,0.26900210245635586
22,1079-3297-1,2023-06-08 15:29:08.889,2023-06-08 15:34:08.889,299.48394,11.41471,4,{},0.18080177690816274,1.5424053307244883,1.0,0.29229112354679954,0.18080177690816274
23,2716-2651-1,2023-06-08 15:34:22.015,2023-06-08 15:39:22.015,322.81291444,35.8735325,5,{},0.1822459784606723,1.546737935382017,0.0,0.3393866714076556,0.1822459784606723
24,1631-2466-1,2023-06-08 15:39:33.760,2023-06-08 15:44:33.760,305.31449,15.10431583,4,{},0.17456204135207098,1.523686124056213,1.0,0.3258179304308687,0.17456204135207098
25,1636-1050-1,2023-06-08 15:44:37.794,2023-06-08 15:49:37.794,307.75950889,17.07613306,2,{},0.1685905706506175,1.5057717119518526,3.0,0.3341685276942916,0.1685905706506175
26,1659-1521-1,2023-06-08 15:49:43.395,2023-06-08 15:54:43.395,312.09782944,21.23328889,2,{},0.16212540451895024,1.4863762135568508,3.0,0.36146657313257846,0.16212540451895024
27,1633-1614-1,2023-06-08 15:54:49.004,2023-06-08 15:59:49.004,308.18226556,16.76723278,1,{},0.15678398619104753,1.4703519585731426,4.0,0.29985826325662235,0.15678398619104753
28,3619-1622-1,2023-06-08 16:00:04.568,2023-06-08 16:05:04.568,335.09461361,51.86100083,1,{},0.15261739216602033,1.457852176498061,4.0,0.21086477118796096,0.15261739216602033
29,2172-1566-1,2023-06-08 16:05:18.073,2023-06-08 16:10:18.073,315.59068583,23.32429111,1,{},0.147224577662376,1.441673732987128,4.0,0.340231273421936,0.147224577662376
30,1633-572-1,2023-06-08 16:10:25.554,2023-06-08 16:15:25.554,308.53563361,15.82624444,5,{},0.256733828270408,1.425353818098745,0.0,0.2502477809959349,0.256733828270408
31,1651-1090-1,2023-06-08 16:15:30.502,2023-06-08 16:20:30.502,312.65423083,18.05125556,3,{},0.1455965948345244,1.4332152448556512,2.0,0.28169839829980875,0.1455965948345244
32,2195-1235-1,2023-06-08 16:20:38.814,2023-06-08 16:25:38.814,321.24897194,27.41800861,5,{},0.2564104465803649,1.4114084170325798,0.0,0.3439870305795088,0.2564104465803649
33,3632-2011-1,2023-06-08 16:25:51.160,2023-06-08 16:30:51.160,337.81258556,50.87234833,4,{},0.13657985171275128,1.4097395551382539,1.0,0.14632980650686167,0.13657985171275128
34,4282-468-1,2023-06-08 16:30:59.679,2023-06-08 16:35:59.679,344.66582694,63.07715861,2,{},0.13546560476897335,1.40639681430692,3.0,0.10152891716920862,0.13546560476897335
35,3611-631-1,2023-06-08 16:36:09.209,2023-06-08 16:41:09.209,337.38803694,47.76384889,1,{},0.13004931951162338,1.3901479585348702,4.0,0.12564987318194998,0.13004931951162338
36,3198-1452-1,2023-06-08 16:41:17.081,2023-06-08 16:46:17.081,331.77560639,37.90077389,2,{},0.13467519496256808,1.3734768755683453,3.0,0.12134933378525424,0.13467519496256808
37,3988-1851-1,2023-06-08 16:46:27.468,2023-06-08 16:51:27.468,342.44843806,54.84682778,5,{},0.12534358751600153,1.3760307625480046,0.0,0.08836772433812402,0.12534358751600153
38,2728-1055-1,2023-06-08 16:51:38.743,2023-06-08 16:56:38.743,331.76361611,34.52131583,3,{},0.1327947370619159,1.3678355018663888,2.0,0.09589362572092434,0.1327947370619159
