,id,start_time,end_time,ra,dec,priority,configuration,cloud,airmass,scientific_score,ratio_to_best_airmass,expected_quality
0,451-985-1,2023-06-08 13:39:16.684,2023-06-08 14:39:16.684,281.15704639,2.12095556,1,{'camera': '1'},0.3169038668598179,1.9507116005794538,4.0,0.26696474925979435,0.3169038668598179
1,6201-50-1,2023-06-08 14:39:56.686,2023-06-08 14:44:56.686,243.29643417,-15.11691806,1,{'camera': '1'},0.3139476512650939,1.9418429537952817,4.0,4.7168839038513695e-05,0.3139476512650939
2,4017-876-1,2023-06-08 14:49:16.686,2023-06-08 14:54:16.686,14.33139667,61.4219325,2,{'camera': '1'},0.5471664825747585,2.5383684020559554,3.0,0.5564738899006871,0.5471664825747585
3,1636-1050-1,2023-06-08 14:59:56.686,2023-06-08 15:04:56.686,307.75950889,17.07613306,2,{'camera': '2'},0.26664772658825875,1.7999431797647762,3.0,0.5896394658468117,0.26664772658825875
4,3258-1897-1,2023-06-08 15:05:36.687,2023-06-08 15:10:36.687,2.64265111,52.316755,1,{'camera': '2'},0.5481292755732943,2.644387826719883,4.0,0.6977201569320904,0.5481292755732943
5,448-526-1,2023-06-08 15:11:56.687,2023-06-08 15:16:56.687,281.49342556,1.31704083,1,{'camera': '3'},0.18740106779913823,1.5622032033974147,4.0,0.14496127021136634,0.18740106779913823
6,3611-631-1,2023-06-08 15:17:56.687,2023-06-08 16:17:56.687,337.38803694,47.76384889,1,{'camera': '3'},0.2123266421256389,1.6369799263769167,4.0,0.20067322501966353,0.2123266421256389
7,5734-462-1,2023-06-08 16:23:56.690,2023-06-08 16:33:56.690,292.74250028,-14.56322222,1,{'camera': '1'},0.4120673034033228,2.125315671680561,4.0,0.10159756460522205,0.4120673034033228
8,3271-962-1,2023-06-08 16:35:16.690,2023-06-08 16:45:16.690,14.884475,48.96640861,1,{'camera': '3'},0.5882894977397585,2.354224771287901,4.0,0.2209389318573643,0.5882894977397585
9,2793-808-1,2023-06-08 16:50:56.691,2023-06-08 17:00:56.691,0.39020222,44.67544333,1,{'camera': '2'},0.27808850644363253,1.8342655193308977,4.0,0.12246788501502953,0.27808850644363253
10,529-1856-1,2023-06-08 17:01:36.691,2023-06-08 17:21:36.691,321.46481667,0.53430889,1,{'camera': '2'},0.2691293217958637,1.807387965387591,4.0,0.26880185390408623,0.2691293217958637
11,3260-55-1,2023-06-08 17:27:01.974,2023-06-08 17:32:01.974,8.12505278,51.72825917,1,{'camera': '1'},0.3253971094874783,1.6675235641146289,4.0,-3.3155910991587334e-09,0.3253971094874783
