,id,start_time,end_time,ra,dec,priority,cloud,airmass
0,3180-149-1,2023-06-08 13:35:16.683,2023-06-08 13:40:16.683,316.94809472,44.96424389,2,0.2422331095360581,2.029783792553676
1,5091-713-1,2023-06-08 13:40:38.315,2023-06-08 13:45:38.315,269.19895222,-4.08180333,1,0.5072798082969844,2.0158610801221766
2,6201-50-1,2023-06-08 13:45:47.574,2023-06-08 13:50:47.574,243.29643417,-15.11691806,3,0.33371763246082864,2.0176729082411846
3,1623-613-1,2023-06-08 13:51:08.701,2023-06-08 13:56:08.701,297.18437778,19.66108139,3,0.0,1.9622200881191294
4,5098-149-1,2023-06-08 13:56:18.609,2023-06-08 14:01:18.609,275.59914861,-1.20229806,3,0.023679799550161806,1.9549249397405104
5,2158-1406-1,2023-06-08 14:01:31.165,2023-06-08 14:06:31.165,303.32333306,25.24154472,3,0.0,1.9087087249125572
6,5095-339-1,2023-06-08 14:06:46.632,2023-06-08 14:11:46.632,268.16126389,-6.14356083,2,0.05969082479875287,1.899398482466782
7,451-985-1,2023-06-08 14:11:51.760,2023-06-08 14:16:51.760,281.15704639,2.12095556,3,0.01813679770102783,1.8617001100278359
8,1064-3322-1,2023-06-08 14:16:57.175,2023-06-08 14:21:57.175,294.04853917,12.16163583,3,0.0,1.864397335176569
9,448-526-1,2023-06-08 14:22:02.678,2023-06-08 14:27:02.678,281.49342556,1.31704083,3,0.13734904886318494,1.8283929468295934
10,1616-837-1,2023-06-08 14:27:10.365,2023-06-08 14:32:10.365,299.00526389,16.63481639,3,0.0,1.7962076370961286
11,3595-2029-1,2023-06-08 14:32:22.935,2023-06-08 14:37:22.935,325.29231667,47.54518944,1,0.0,1.770948168250237
12,2687-1355-1,2023-06-08 14:37:29.449,2023-06-08 14:42:29.449,312.15663528,30.79293722,2,0.0,1.7431992535635676
13,2688-591-1,2023-06-08 14:42:29.449,2023-06-08 14:47:29.449,313.38883722,31.62614639,4,0.0,1.7224155065260034
14,466-1646-1,2023-06-08 14:47:42.568,2023-06-08 14:52:42.568,285.29761,2.48282444,3,0.06804360223469641,1.7164361165782107
15,471-1058-1,2023-06-08 14:52:43.903,2023-06-08 14:57:43.903,288.69099861,4.62006472,2,0.13608720446939282,1.6960078529896951
16,2688-1632-1,2023-06-08 14:57:55.729,2023-06-08 15:02:55.729,314.56472056,30.39588778,3,0.0,1.672928294694708
17,1645-216-1,2023-06-08 15:02:59.137,2023-06-08 15:07:59.137,308.02652306,22.01413639,2,0.0,1.6496319883619486
18,1066-3555-1,2023-06-08 15:08:03.843,2023-06-08 15:13:03.843,298.01513667,11.62911528,3,0.0,1.6212811548009902
19,1640-1831-1,2023-06-08 15:13:07.591,2023-06-08 15:18:07.591,306.85653472,18.96814083,3,0.08238525304299821,1.6242265472112747
20,1057-2439-1,2023-06-08 15:18:12.639,2023-06-08 15:23:12.639,295.69109,8.38263833,1,0.0,1.5978095165102788
21,1640-1763-1,2023-06-08 15:23:17.947,2023-06-08 15:28:17.947,307.53037806,19.4301525,2,0.08238525304299821,1.56756249297763
22,1079-3297-1,2023-06-08 15:28:21.663,2023-06-08 15:33:21.663,299.48394,11.41471,3,0.0,1.5464303349127524
23,2716-2651-1,2023-06-08 15:33:32.427,2023-06-08 15:38:32.427,322.81291444,35.8735325,1,0.0,1.5513612814635471
24,1631-2466-1,2023-06-08 15:38:41.092,2023-06-08 15:43:41.092,305.31449,15.10431583,1,0.0,1.5282475257238644
25,1636-1050-1,2023-06-08 15:43:42.114,2023-06-08 15:48:42.114,307.75950889,17.07613306,4,0.0,1.5105232546838132
26,1659-1521-1,2023-06-08 15:48:44.059,2023-06-08 15:53:44.059,312.09782944,21.23328889,2,0.0,1.4914100431058555
27,1633-1614-1,2023-06-08 15:53:45.993,2023-06-08 15:58:45.993,308.18226556,16.76723278,4,0.0,1.475316039271171
28,3619-1622-1,2023-06-08 15:58:59.674,2023-06-08 16:03:59.674,335.09461361,51.86100083,2,0.0,1.4621087124399894
29,2172-1566-1,2023-06-08 16:04:10.415,2023-06-08 16:09:10.415,315.59068583,23.32429111,2,0.0,1.4469646109459777
30,1633-572-1,2023-06-08 16:09:13.753,2023-06-08 16:14:13.753,308.53563361,15.82624444,3,0.253157791530897,1.4303688699288652
31,1651-1090-1,2023-06-08 16:14:15.261,2023-06-08 16:19:15.261,312.65423083,18.05125556,2,0.05766929124884612,1.4387447799313624
32,2195-1235-1,2023-06-08 16:19:19.348,2023-06-08 16:24:19.348,321.24897194,27.41800861,4,0.0,1.417314184955557
